Bericht;Kategorie;Beschreibung;Thumbnail;Link
Aufgeblasen;Testericht;Neues Top-Modell mit aufgeladenem 188 PS-Motor <AMS 12/82>;Aufgeblasen-Thumbnail.jpg;../data/presseberichte/Aufgeblasen - Neues Top-Modell mit aufgeladenem 188 PS-Motor AMS 12-82.pdf
Grenzbereich;Pressebericht;Neuer Ford Capri Tubo <mot Nr.17/81>;Grenzbereich-Thumbnail.jpg;../data/presseberichte/Grenzbereich - Neuer Ford Capri Tubo mot Nr.17 19.08.81.pdf
Schneller Ford-Schritt;Pressebericht;Neuer Turbo-Capri mit 188 PS für 33 000 Mark;SchnellerFord-Schritt-Thumbnail.jpg;../data/presseberichte/Schneller Ford-Schritt - Neuer Turbo-Capri mit 188 PS fuer 33 000 Mark.pdf
Turbo Capri für die Straße;Pressebericht;Turbo Capri für die Straße - Der schnellste Serienwagen von Ford;TurboCaprifuerdieStrasse-Thumbnail.jpg;../data/presseberichte/Turbo Capri für die Straße - Dert schnellste Serienwagen von Ford.pdf
Die drei Musketiere;Testbericht;Vergleich: Porsche 944 / Mitsubishi Starion / Ford Capri turbo <Auto Zeitung 13/82>;Drei-Musketiere-Thumbnail.jpg;../data/presseberichte/Drei-Musketiere.pdf
Capri III Werksturbo - feinarbeit;Scenebericht;Werksturbo neu Aufgebaut und verfeinert      <Ford Scene Drive 10/1999>;KC-LY 1-Icon.jpg;../data/presseberichte/Werksturbo KC-LY 1.pdf
