Dokument;Kategorie;Beschreibung;Datei
Prospekt Deutschland;Prospekt;Unter anderem auf dem deutschen Markt erscheinendes Prospekt;https://drive.google.com/thumbnail?id=1xmbnGg1DZtCqtnwyQVJz8TDZejZjsjNA&sz=w320
Prospekt Schweiz;Prospekt;Unter anderem auf dem schweizer Markt erscheinendes Prospekt;https://drive.google.com/thumbnail?id=1E2ql7TZgZzyECwKV2rMx0yw8VXmEGWG9&sz=w320
